	Erlotinib	AG1024	Imatinib	Trichostatin A	Etoposide	Fascaplysin	Methotrexate	Bortezomib-batch1	Paclitaxel	PS-1145	SAHA (Vorinostat)	Ixabepilone	Cisplatin	Geldanamycin	API-2(Tricir)	Pemetrexed	Purvalanol A	Rapamycin	Sunitinib Malate	Carboplatin	Docetaxel	Oxaliplatin	Nelfinavir	17-AAG	CPT-11(FD)	Doxorubicin(FD)	Iressa	Baicalein	Sorafenib	Mebendazole	Bortezomib-batch2	Cetuximab	AKT1-2 inhibitor	AZD6244	Lestaurtinib(CEP-701)	NSC663284	Oxamflatin	SB-3CT	TCS PIM-11	Valproic acid	VX-680	5-FU	Gemcitabine	BEZ235	5-FdUR	AS-252424	Ibandronate sodium salt	LBH589	MG-132	Nilotinib	Olomoucine II	PD98059(LC Labs)	TCS2312 dihydrochloride	Sodium Dichloroacetate	Tamoxifen	TPT(FD)	FTase inhibitor I	ICRF-193	PD184352	Rafi IV (L779450)	ZM447439	Disulfiram	AG1478	Vinorelbine	Glycyl H1152	SKI-606(Bosutinib)	XRP44X	NU6102	Epirubicin	ERKi II (FR180304)	Temsirolimus(Torisel)	IKK 16	BIBW2992	TPCA-1	Everolimus	PD173074	Z-Leu-Leu-Norvalinal	4-HC	4-HC+Dox Combo	Doxorubicin	TCS JNK 5a	Methyl Glyoxol	Z-Leu-Leu-Leu-al	Herceptin	QNZ	Bromopyruvate	GM6001	TAPI-0 (IC-1)	GW5074	Chloroquine	2-deoxy-D-glucose	Chk2 inhibitor II	GW843682X	Ro 32-0432	DMSO	Sulindac sulfide	Celecoxib(Celebrex)	LY294002	CI1040	UO126
600MPE	5.03E-05	3.33E-05	2.39E-05	6.43E-06	5.53E-06	2.85E-07	4.09E-06	1.41E-07	3.11E-08	1.89E-03	6.67E-05	2.97E-09	4.66E-05	3.68E-08	3.68E-06	2.92E-03	7.10E-05	7.59E-06	3.94E-06	1.52E-04	2.47E-08	1.29E-05	8.89E-06	2.26E-07	1.97E-05	2.03E-07	6.13E-06	1.67E-04	4.37E-05	9.95E-06	       NA	6.85E-07	7.03E-06	5.80E-07	1.69E-06	4.57E-06	2.98E-06	1.00E-04	1.33E-04	0.00305	8.70E-06	7.68E-05	2.30E-08	3.33E-05	1.56E-06	6.40E-06	2.16E-04	1.89E-07	5.00E-07	2.00E-04	5.92E-06	5.00E-05	1.12E-06	3.33E-06	4.48E-05	       NA	3.33E-05	5.00E-05	3.33E-05	8.57E-06	1.00E-04	8.02E-08	7.84E-05	1.07E-06	6.67E-05	5.40E-06	1.33E-04	       NA	       NA	2.24E-05	1.80E-05	7.75E-06	2.33E-06	6.67E-05	1.99E-05	9.76E-06	1.30E-06	3.25E-05	2.61E-05	2.17E-07	1.33E-04	6.08E-04	4.90E-07	       NA	3.33E-05	3.18E-08	3.33E-05	3.33E-05	3.33E-05	1.21E-08	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
BT483	1.66E-05	9.08E-06	1.52E-04	1.00E-05	4.26E-06	6.57E-08	2.34E-04	3.66E-08	1.01E-07	1.89E-03	5.93E-05	5.40E-06	8.89E-05	1.45E-07	1.24E-07	2.92E-03	3.96E-05	1.66E-09	1.87E-05	1.51E-06	2.23E-08	2.75E-05	9.87E-06	2.10E-07	6.07E-06	1.01E-07	6.21E-06	3.64E-05	1.19E-05	2.16E-06	       NA	6.85E-07	6.26E-07	5.00E-05	6.18E-07	6.42E-07	5.43E-07	2.57E-05	1.33E-04	0.0009696	3.61E-06	3.31E-05	8.91E-09	1.35E-06	7.12E-05	1.70E-05	5.71E-05	7.20E-08	1.54E-07	8.45E-05	5.79E-06	3.05E-05	6.30E-07	3.33E-06	3.36E-06	4.21E-08	3.33E-05	5.00E-05	6.67E-05	1.44E-05	2.74E-05	6.63E-05	1.67E-04	7.21E-09	       NA	3.73E-06	5.90E-06	       NA	1.66E-07	3.54E-05	2.67E-07	       NA	1.66E-06	       NA	2.84E-06	       NA	       NA	       NA	       NA	       NA	1.12E-06	       NA	       NA	7.20E-06	      NA	1.32E-08	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
HCC1395	2.95E-05	3.33E-05	1.70E-05	3.17E-05	2.96E-06	3.22E-07	3.33E-04	7.05E-09	1.94E-08	1.89E-03	3.21E-04	1.09E-08	1.22E-06	3.81E-08	3.45E-06	2.92E-03	1.67E-04	1.45E-05	4.43E-06	9.92E-06	5.80E-09	1.06E-05	3.33E-05	2.91E-07	1.01E-06	2.53E-07	6.73E-06	1.86E-05	4.78E-05	4.63E-07	       NA	6.85E-07	5.62E-06	3.78E-05	1.24E-07	7.00E-07	2.13E-06	9.39E-05	1.33E-04	0.0033931	6.18E-06	6.60E-04	3.42E-07	3.33E-05	3.09E-04	5.99E-05	1.28E-05	2.77E-07	2.28E-07	2.00E-04	1.91E-06	1.00E-04	9.62E-08	3.33E-06	4.22E-05	1.51E-08	6.67E-05	2.03E-05	3.33E-05	1.50E-05	5.03E-06	6.67E-05	7.13E-05	3.55E-09	8.98E-06	1.17E-06	9.39E-07	9.40E-06	7.19E-07	2.76E-05	1.47E-05	1.39E-06	1.18E-06	6.09E-06	1.05E-05	6.21E-07	       NA	2.57E-05	2.51E-05	2.16E-07	2.34E-06	1.15E-03	3.15E-07	7.20E-06	3.32E-08	       NA	3.33E-05	3.33E-05	3.33E-05	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
HCC202	2.69E-06	1.21E-05	1.56E-06	3.95E-07	9.23E-07	4.23E-08	2.06E-08	7.27E-09	7.94E-09	1.89E-03	9.25E-06	4.29E-07	8.76E-07	3.94E-09	6.01E-08	7.79E-06	9.65E-05	5.82E-09	9.30E-06	3.66E-05	2.37E-09	5.34E-06	4.52E-06	5.33E-09	4.82E-05	2.45E-07	3.52E-07	3.93E-05	7.25E-05	2.07E-07	       NA	6.85E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.70E-05	1.50E-05	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.33E-06	2.80E-05	8.24E-07	       NA	       NA	       NA	       NA	       NA	1.46E-05	1.78E-06	1.28E-08	       NA	       NA	       NA	       NA	5.46E-07	       NA	       NA	8.02E-06	       NA	4.05E-05	       NA	7.03E-06	2.09E-07	1.66E-05	1.12E-05	2.89E-07	       NA	       NA	1.07E-07	1.35E-09	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MDAMB134VI	6.67E-05	1.60E-05	3.38E-05	6.30E-06	2.44E-06	2.25E-07	3.33E-04	8.33E-09	1.02E-08	1.89E-03	3.94E-05	1.01E-09	1.88E-04	1.60E-08	2.90E-06	2.92E-03	5.53E-05	2.67E-10	1.07E-05	2.17E-04	1.55E-08	2.91E-04	8.76E-06	3.78E-08	1.16E-05	1.11E-06	1.92E-05	8.58E-05	2.86E-05	       NA	1.08E-08	6.85E-07	8.84E-06	6.33E-07	4.71E-07	6.02E-06	6.58E-07	1.00E-04	1.33E-04	0.0007658	9.30E-07	2.20E-03	1.42E-03	3.33E-05	6.37E-04	3.30E-05	6.77E-05	8.81E-08	2.32E-07	2.00E-04	5.83E-06	1.00E-04	1.61E-06	3.33E-06	1.66E-07	1.14E-07	3.33E-05	4.74E-05	3.33E-05	1.41E-05	9.42E-06	1.33E-06	4.78E-05	1.11E-08	1.27E-06	1.00E-04	8.18E-07	1.82E-05	1.04E-06	1.00E-04	1.30E-07	5.50E-06	3.61E-06	9.50E-06	5.43E-08	1.86E-05	       NA	1.07E-04	1.07E-04	4.00E-07	7.58E-06	2.53E-03	       NA	7.20E-06	      NA	3.79E-07	      NA	      NA	       NA	1.37E-05	3.33E-03	6.67E-05	7.28E-06	3.33E-05	      NA	1.33E-04	1.67E-03	   NA	      NA	      NA
SUM185PE	6.67E-05	2.71E-06	1.24E-05	1.73E-05	4.88E-06	5.51E-08	3.33E-04	5.33E-09	2.29E-07	1.89E-03	3.84E-05	8.47E-09	9.35E-05	1.97E-08	7.20E-07	2.92E-03	2.03E-05	9.03E-07	1.04E-06	1.16E-04	3.95E-07	4.08E-05	5.80E-06	3.37E-08	1.02E-05	3.12E-07	7.74E-06	       NA	1.49E-06	5.06E-07	9.02E-09	6.85E-07	1.12E-06	5.00E-05	6.29E-08	3.16E-07	3.06E-07	1.76E-05	2.13E-05	0.00145	2.42E-06	2.92E-03	3.62E-07	3.33E-05	       NA	       NA	       NA	7.71E-08	9.75E-08	       NA	1.04E-06	1.33E-05	1.50E-07	3.33E-06	8.99E-06	6.35E-08	       NA	5.00E-05	       NA	6.39E-06	3.14E-05	6.67E-05	1.67E-04	8.32E-09	       NA	       NA	       NA	9.57E-06	4.03E-07	3.69E-05	1.33E-04	       NA	3.50E-06	       NA	1.57E-06	       NA	       NA	       NA	       NA	       NA	1.05E-04	1.18E-03	       NA	7.20E-06	      NA	4.04E-08	      NA	      NA	       NA	9.10E-06	2.58E-06	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
184B5	4.75E-07	2.37E-07	2.37E-05	4.55E-05	8.66E-06	2.93E-07	4.28E-08	4.72E-09	1.80E-08	1.89E-03	1.43E-04	1.75E-07	5.00E-04	9.67E-09	5.65E-07	3.66E-07	3.05E-06	3.33E-05	5.23E-06	5.08E-06	4.03E-09	2.70E-06	4.68E-06	2.77E-08	2.21E-06	       NA	3.70E-08	1.67E-04	3.34E-06	6.67E-05	       NA	2.46E-08	2.77E-06	1.27E-07	3.22E-07	2.67E-06	8.78E-07	1.67E-04	2.45E-06	0.00085	1.81E-06	1.92E-02	7.26E-07	       NA	2.25E-04	2.22E-05	2.40E-04	1.03E-07	1.64E-08	2.00E-04	2.96E-06	5.00E-05	5.01E-07	      NA	       NA	6.84E-08	6.67E-05	3.33E-05	3.02E-06	3.57E-06	5.00E-05	1.17E-05	       NA	       NA	6.67E-05	5.50E-07	2.81E-07	4.08E-06	5.64E-09	1.29E-05	5.12E-06	1.49E-06	6.04E-08	1.19E-05	2.82E-06	1.29E-05	       NA	       NA	       NA	       NA	1.96E-04	       NA	       NA	7.20E-06	3.45E-08	       NA	3.33E-05	3.33E-05	3.01E-06	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
SUM149PT	1.99E-06	3.33E-05	2.16E-05	7.27E-06	2.65E-06	4.01E-07	3.33E-04	9.98E-09	9.39E-09	1.89E-03	9.57E-05	5.49E-09	1.60E-06	6.03E-09	2.27E-06	2.92E-03	1.33E-05	9.36E-06	2.69E-06	1.51E-05	1.72E-09	1.47E-06	1.04E-05	9.77E-08	       NA	       NA	2.42E-06	5.07E-05	1.58E-05	6.66E-07	3.60E-09	8.68E-08	1.09E-05	4.81E-07	7.54E-08	2.06E-06	5.94E-07	5.40E-05	3.24E-05	0.0013673	8.43E-06	7.20E-05	1.43E-08	3.14E-07	7.67E-05	1.00E-05	1.72E-04	2.51E-07	1.58E-07	2.00E-04	6.64E-06	2.19E-05	2.38E-07	3.33E-06	7.81E-05	       NA	1.74E-05	2.59E-06	1.24E-05	7.27E-06	1.00E-04	       NA	1.18E-06	1.41E-08	2.67E-05	7.40E-07	1.31E-06	7.28E-06	2.17E-07	1.85E-05	6.15E-06	1.53E-06	7.40E-08	1.66E-06	3.80E-06	9.13E-06	8.11E-07	1.85E-06	4.58E-06	1.92E-07	       NA	1.72E-05	5.38E-06	       NA	1.13E-05	       NA	3.33E-05	3.33E-05	3.33E-05	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MDAMB157	6.67E-05	3.33E-05	1.73E-05	2.08E-05	9.63E-07	1.70E-07	7.53E-08	6.97E-09	5.35E-09	1.89E-03	9.85E-05	4.66E-09	2.42E-05	1.95E-08	7.32E-06	2.92E-03	1.67E-04	1.67E-04	6.22E-06	8.53E-05	1.75E-09	1.57E-05	8.22E-06	       NA	3.74E-06	3.24E-07	1.19E-05	5.30E-05	1.66E-04	5.01E-07	6.84E-09	6.85E-07	1.39E-05	5.00E-05	3.49E-07	1.36E-06	7.38E-07	1.67E-04	1.33E-04	0.00211	3.74E-06	7.77E-04	       NA	2.84E-07	1.34E-04	3.33E-05	4.34E-05	5.13E-08	1.72E-07	2.00E-04	5.92E-06	5.00E-05	2.15E-07	3.33E-06	8.20E-05	4.01E-07	6.67E-05	6.95E-06	       NA	1.32E-05	2.17E-06	6.02E-08	3.28E-05	1.30E-08	6.67E-05	1.33E-06	1.11E-06	5.52E-05	4.85E-07	1.00E-04	2.37E-05	1.81E-06	2.43E-06	       NA	2.37E-05	2.33E-06	4.64E-07	4.72E-06	6.06E-06	5.73E-08	1.61E-04	4.71E-04	1.45E-07	       NA	1.17E-05	5.15E-08	3.33E-05	3.33E-05	3.33E-05	1.67E-06	1.13E-03	      NA	      NA	      NA	3.33E-05	      NA	      NA	   NA	      NA	      NA
MDAMB231ATCC	6.11E-05	3.33E-05	1.58E-05	3.14E-05	6.97E-06	1.98E-07	3.33E-04	1.92E-08	1.10E-08	1.89E-03	1.51E-04	6.52E-10	3.33E-05	2.18E-08	3.33E-05	2.92E-03	1.67E-04	5.41E-17	7.42E-06	2.86E-04	7.58E-09	3.07E-05	       NA	1.77E-06	7.38E-05	8.89E-07	3.33E-05	       NA	1.36E-04	       NA	       NA	6.85E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	2.11E-04	1.29E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	1.67E-04	8.64E-06	       NA	       NA	       NA	       NA	       NA	       NA	1.67E-04	6.28E-09	       NA	       NA	       NA	       NA	3.70E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
CAMA1	6.67E-05	1.76E-05	1.94E-05	2.68E-06	4.87E-06	2.47E-07	1.06E-07	1.25E-08	1.11E-08	1.89E-03	7.42E-05	9.56E-10	4.07E-05	3.36E-08	6.56E-06	2.42E-05	1.35E-04	1.50E-08	8.51E-06	1.89E-04	       NA	9.50E-06	4.26E-06	2.54E-07	1.43E-05	2.64E-07	       NA	4.04E-05	5.98E-05	4.73E-07	8.44E-09	6.85E-07	6.83E-06	5.00E-05	3.82E-06	2.58E-06	8.05E-07	1.00E-04	1.33E-04	0.0016186	2.97E-05	3.08E-04	1.61E-07	2.15E-07	4.41E-05	6.67E-05	1.53E-04	4.96E-08	2.02E-07	2.00E-04	5.00E-06	4.74E-05	7.08E-07	3.33E-06	3.44E-05	3.97E-07	3.33E-05	5.00E-05	6.67E-05	3.95E-05	9.46E-06	1.41E-05	3.47E-05	1.32E-08	3.33E-05	7.74E-06	9.85E-07	1.64E-05	       NA	1.00E-04	       NA	2.71E-06	2.24E-06	1.33E-04	7.05E-09	1.67E-05	4.44E-07	1.92E-05	1.41E-05	1.13E-07	       NA	2.01E-03	2.79E-07	7.20E-06	      NA	1.04E-07	      NA	      NA	       NA	1.25E-05	3.33E-03	6.67E-05	3.33E-05	3.33E-05	3.33E-05	1.33E-04	1.67E-03	   NA	      NA	      NA
HCC1937	3.91E-05	3.33E-05	2.05E-05	1.52E-05	4.54E-06	3.92E-07	3.33E-04	7.87E-09	1.54E-08	1.89E-03	1.77E-04	1.75E-07	3.34E-06	3.21E-08	3.33E-05	6.71E-04	4.23E-05	1.23E-06	6.88E-06	3.41E-05	       NA	7.90E-06	7.15E-06	1.33E-07	7.24E-06	3.27E-07	8.23E-06	3.46E-05	1.72E-04	1.27E-05	       NA	6.85E-07	9.96E-06	5.00E-05	6.17E-07	8.54E-07	1.46E-06	1.00E-04	1.33E-04	0.00273	8.03E-06	2.19E-04	1.06E-06	3.33E-05	4.31E-04	6.67E-05	2.92E-05	1.89E-07	1.51E-07	2.00E-04	6.34E-06	3.14E-05	3.05E-07	3.33E-06	1.67E-04	       NA	3.33E-05	5.00E-05	3.33E-05	1.45E-05	5.87E-06	1.29E-07	1.29E-05	2.22E-07	6.67E-05	1.44E-06	1.33E-04	5.34E-05	2.06E-07	1.00E-04	4.40E-07	2.56E-06	2.08E-06	6.67E-05	7.93E-07	7.62E-06	3.64E-07	9.73E-06	1.01E-05	1.90E-07	1.33E-04	2.75E-04	1.10E-07	       NA	      NA	       NA	      NA	      NA	3.33E-05	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
ZR751	6.67E-05	3.24E-05	2.77E-05	1.83E-05	2.07E-06	3.54E-07	4.91E-08	2.80E-08	1.73E-08	1.89E-03	1.68E-04	2.10E-07	1.02E-05	8.67E-08	3.33E-05	8.88E-06	1.67E-04	       NA	1.33E-05	8.02E-05	1.84E-08	2.44E-06	1.15E-05	1.49E-07	3.67E-06	1.34E-07	3.33E-05	4.13E-05	3.70E-05	2.38E-07	1.05E-08	6.85E-07	7.38E-07	1.76E-05	1.77E-06	1.75E-06	2.23E-06	1.67E-04	9.96E-05	0.0016626	5.16E-06	3.00E-05	3.55E-08	1.83E-06	2.79E-06	6.37E-06	6.97E-05	1.58E-07	5.54E-07	2.00E-04	6.17E-06	5.00E-05	7.13E-07	3.33E-06	1.67E-04	6.93E-08	6.67E-05	8.48E-07	5.40E-05	2.57E-05	3.37E-06	       NA	1.67E-04	4.24E-08	1.54E-05	1.14E-05	1.24E-06	1.53E-05	2.52E-07	5.89E-06	1.33E-04	5.14E-06	2.32E-06	3.67E-05	2.84E-08	1.51E-05	2.26E-06	7.25E-06	5.50E-06	7.76E-08	1.24E-05	       NA	6.12E-07	       NA	5.31E-08	4.18E-08	3.33E-05	3.33E-05	3.33E-05	1.37E-05	2.04E-03	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
ZR75B	6.67E-05	3.33E-05	2.37E-05	4.98E-06	8.75E-07	4.10E-07	3.33E-04	2.98E-08	4.15E-08	1.89E-03	9.60E-05	1.12E-07	8.63E-05	8.94E-08	7.93E-06	2.92E-03	1.67E-04	       NA	       NA	3.00E-04	9.38E-09	3.04E-06	7.33E-06	5.39E-08	1.53E-06	2.13E-07	2.13E-05	4.34E-05	6.88E-04	1.54E-07	       NA	6.85E-07	1.17E-06	5.00E-05	4.56E-07	5.55E-06	3.91E-07	2.40E-05	1.33E-04	0.00197	1.62E-07	1.12E-05	4.52E-08	1.42E-07	6.96E-06	9.14E-06	1.43E-04	8.32E-08	4.00E-07	2.00E-04	5.89E-06	2.58E-05	8.68E-07	3.33E-06	       NA	5.49E-08	3.33E-05	2.49E-07	3.33E-05	3.07E-05	       NA	       NA	1.67E-04	8.91E-09	6.67E-05	7.14E-06	1.25E-06	1.42E-05	1.15E-07	2.73E-05	1.07E-07	       NA	3.02E-06	       NA	       NA	       NA	2.99E-06	1.80E-05	1.63E-05	3.95E-08	       NA	1.64E-03	2.10E-06	7.20E-06	      NA	       NA	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
LY2	6.67E-05	3.33E-05	2.24E-05	1.02E-05	3.33E-04	7.96E-09	3.40E-08	3.47E-07	1.06E-08	1.89E-03	1.37E-04	5.97E-09	7.83E-06	5.74E-08	2.33E-07	4.73E-07	       NA	       NA	7.31E-06	4.57E-05	6.24E-09	3.57E-06	8.81E-06	1.03E-07	1.31E-05	1.96E-07	2.40E-05	6.43E-05	       NA	4.84E-07	3.06E-08	6.85E-07	1.42E-06	5.00E-05	2.51E-07	5.34E-07	1.30E-06	1.00E-04	1.33E-04	0.0010972	6.14E-06	3.74E-05	2.40E-08	1.60E-07	2.35E-06	3.09E-05	1.26E-04	       NA	3.20E-07	2.00E-04	3.44E-06	5.00E-05	2.24E-07	3.33E-06	5.64E-05	2.59E-07	3.33E-05	1.06E-06	3.33E-05	       NA	       NA	9.81E-06	1.67E-04	1.31E-08	5.30E-07	2.19E-06	8.30E-07	2.77E-05	1.37E-07	       NA	1.41E-07	5.45E-06	2.22E-06	2.85E-05	3.04E-08	7.43E-06	2.43E-06	4.53E-05	9.77E-05	3.45E-07	5.80E-07	       NA	7.11E-07	7.20E-06	      NA	2.21E-07	      NA	      NA	       NA	8.11E-06	3.33E-03	      NA	      NA	      NA	3.33E-05	      NA	      NA	   NA	      NA	      NA
HCC70	1.72E-06	6.21E-06	1.71E-05	1.44E-05	1.30E-05	1.25E-07	3.33E-04	2.51E-09	9.33E-09	1.89E-03	3.44E-05	1.41E-09	1.57E-06	8.06E-08	       NA	2.92E-03	1.67E-04	1.20E-07	2.49E-06	1.50E-05	3.25E-09	4.17E-06	1.76E-05	2.39E-07	1.08E-05	4.32E-06	8.91E-06	4.95E-05	3.58E-05	1.39E-07	3.48E-10	6.85E-07	1.81E-06	1.79E-06	1.93E-07	3.03E-06	4.37E-07	1.67E-04	3.40E-05	0.0010297	2.52E-06	1.03E-04	2.62E-05	1.60E-07	2.15E-04	2.14E-05	6.26E-05	7.81E-08	6.46E-08	2.00E-04	3.39E-06	5.00E-05	2.97E-07	      NA	1.67E-04	5.06E-07	6.67E-05	5.00E-05	1.24E-05	3.21E-05	1.41E-06	6.67E-05	6.19E-05	2.18E-08	9.15E-07	9.32E-07	1.07E-06	1.97E-05	4.49E-07	2.89E-05	3.26E-07	2.89E-06	4.65E-07	3.60E-06	1.10E-07	7.00E-06	2.13E-07	8.15E-06	5.41E-06	5.41E-08	       NA	1.14E-03	9.08E-08	       NA	5.51E-08	       NA	5.13E-06	1.93E-06	3.33E-05	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
MDAMB468D	6.74E-06	3.33E-05	1.41E-05	1.94E-05	1.65E-06	1.22E-07	2.64E-08	1.63E-08	8.43E-09	1.89E-03	1.93E-04	1.94E-09	       NA	       NA	2.54E-06	5.00E-05	2.90E-05	2.17E-06	4.40E-06	       NA	2.12E-09	       NA	2.32E-05	       NA	       NA	       NA	       NA	2.87E-05	6.86E-05	3.04E-07	5.29E-09	       NA	9.87E-06	5.00E-05	4.08E-07	6.47E-06	2.72E-06	1.00E-04	1.33E-04	0.00377	1.11E-07	       NA	       NA	3.33E-05	6.00E-04	6.67E-05	9.34E-05	2.32E-07	2.57E-07	2.00E-04	5.55E-06	4.76E-05	8.57E-07	3.33E-06	       NA	       NA	3.33E-05	1.07E-05	3.33E-05	1.25E-05	6.59E-07	2.22E-06	       NA	       NA	2.05E-06	2.59E-06	1.18E-06	1.41E-05	       NA	2.70E-05	5.60E-06	1.46E-06	6.32E-07	1.15E-06	8.83E-07	6.65E-06	5.61E-07	5.85E-06	5.65E-06	8.21E-08	       NA	5.84E-04	2.64E-07	       NA	3.33E-05	       NA	3.33E-05	3.33E-05	       NA	       NA	       NA	      NA	      NA	      NA	3.33E-05	      NA	      NA	   NA	      NA	      NA
T47DKBLUC	6.67E-05	3.33E-05	2.12E-05	3.94E-06	1.62E-06	4.88E-08	2.68E-07	2.99E-07	1.43E-08	1.89E-03	1.03E-04	2.45E-08	       NA	       NA	       NA	2.92E-03	1.67E-04	2.26E-06	7.61E-06	       NA	1.17E-08	       NA	3.33E-05	       NA	       NA	       NA	       NA	9.91E-05	4.15E-05	2.63E-05	1.86E-08	       NA	4.86E-06	5.00E-05	6.81E-06	4.19E-06	1.26E-06	1.67E-04	1.33E-04	0.00173	3.23E-05	       NA	       NA	3.33E-05	1.60E-03	3.33E-05	1.19E-04	1.33E-07	1.71E-07	2.00E-04	       NA	5.00E-05	       NA	3.33E-06	       NA	       NA	6.67E-05	3.33E-05	3.33E-05	       NA	5.00E-05	1.01E-07	       NA	       NA	6.67E-05	3.33E-05	       NA	3.68E-05	       NA	1.00E-04	2.78E-05	4.18E-06	3.53E-06	1.33E-04	9.90E-06	1.28E-05	9.73E-07	6.83E-06	6.52E-06	9.70E-08	2.00E-04	1.51E-03	3.19E-07	       NA	      NA	5.29E-08	      NA	      NA	       NA	       NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA
BT20	2.01E-06	3.33E-05	1.30E-05	2.07E-05	3.34E-06	3.12E-07	3.33E-04	4.69E-08	       NA	1.89E-03	1.81E-04	3.52E-09	       NA	       NA	5.49E-06	2.92E-03	2.72E-05	6.71E-08	1.64E-05	       NA	       NA	       NA	6.92E-06	       NA	       NA	       NA	       NA	8.86E-05	6.27E-05	6.45E-07	9.01E-09	6.85E-07	8.12E-06	5.00E-05	2.92E-06	3.26E-06	3.80E-06	6.14E-05	1.33E-04	0.0035992	4.54E-06	       NA	       NA	2.54E-06	3.20E-04	1.17E-05	2.05E-05	3.86E-07	4.24E-07	6.13E-05	3.69E-06	3.58E-05	1.88E-06	3.33E-06	       NA	       NA	3.33E-05	5.00E-05	6.67E-05	2.39E-05	4.68E-06	5.00E-08	       NA	       NA	6.57E-06	1.28E-06	5.08E-06	       NA	       NA	2.80E-05	6.67E-07	3.77E-06	2.76E-06	1.47E-06	       NA	1.07E-05	3.04E-07	4.69E-05	3.38E-05	3.31E-07	9.58E-07	       NA	5.28E-08	7.20E-06	3.33E-05	       NA	3.33E-05	5.72E-06	       NA	       NA	       NA	3.89E-05	3.33E-05	3.33E-05	3.33E-05	1.33E-04	      NA	   NA	      NA	      NA
MDAMB436D	6.67E-05	3.33E-05	1.77E-05	2.30E-05	1.31E-06	3.60E-07	3.33E-04	2.86E-08	       NA	1.89E-03	1.60E-04	6.30E-09	       NA	       NA	3.40E-06	2.92E-03	1.67E-04	       NA	3.56E-06	       NA	       NA	       NA	3.19E-06	       NA	       NA	       NA	       NA	3.38E-05	5.17E-05	1.04E-06	1.86E-08	       NA	2.23E-05	5.00E-05	1.37E-06	3.43E-06	4.82E-06	1.67E-04	1.33E-04	0.0124	6.42E-07	       NA	       NA	3.33E-05	4.47E-03	8.01E-06	1.61E-05	3.03E-07	1.45E-07	2.00E-04	8.73E-06	5.00E-05	4.09E-07	3.33E-06	       NA	       NA	6.67E-05	5.00E-05	3.33E-05	2.08E-06	1.90E-06	2.33E-06	       NA	       NA	       NA	4.07E-06	1.17E-06	2.05E-05	       NA	1.00E-04	3.46E-05	2.79E-06	3.69E-06	6.91E-06	       NA	6.39E-06	       NA	       NA	       NA	       NA	       NA	1.40E-03	       NA	       NA	1.02E-08	7.55E-08	3.33E-05	3.33E-05	3.33E-05	9.41E-06	3.33E-03	      NA	      NA	      NA	3.33E-05	      NA	      NA	   NA	      NA	      NA
