KYSE220	KYSE-220	50293	
KYSE270	KYSE-270	50294	
KYSE30	KYSE-30	50295	
KYSE410	KYSE-410	50296	
KYSE450	KYSE-450	50027	
KYSE50	KYSE-50	50297	
KYSE510	KYSE-510	50298	
KYSE520	KYSE-520	50299	
KYSE70	KYSE-70	50300	
LC1SQ	LC-1 sq	50301	
LCLC103H	LCLC-103H	50302	
LCLC97TM1	LCLC-97TM1	50303	
LK2	LK-2	50304	
LN18	LN-18	50305	
LN229	LN-229	50306	
LN405	LN-405	50307	
LNCAP	LNCaP	50059	LNCAPCLONEFGC
LNZTA3WT11	LNZTA3WT11	50308	
LNZTA3WT4	LNZTA3WT4	50028	LNZTA3P53WT4;WT4
LOUNH91	LOU-NH91	50309	
LOVO	LoVo	50310	
LS174T	LS174T	50311	
LS180	LS180	50312	
LU134AH	Lu-134-A-H	50313	
LU135	Lu-135	50314	
LU65	LU65	50315	
LU65A	LU65A	50316	
LU65B	LU65B	50317	
LU65C	LU65C	50318	
LU99A	LU99A	50319	
LU99B	LU99B	50320	
LU99C	LU99C	50321	
LUDLU1	LUDLU-1	50322	
M059J	M059J	50323	
MB157	MB 157	50324	
MCAS	MCAS	50325	
MCF10A	MCF 10A	50583	
MCF10F	MCF 10F	50584	
MCF7	MCF7	50029	
MCIXC	MC-IXC	50326	
MDAMB134VI	MDA-MB-134-VI	50327	
MDAMB157	MDA-MB-157	50328	
MDAMB175VII	MDA-MB-175-VII	50329	
MDAMB231	MDA-MB-231	50058	
MDAMB330	MDA-MB-330	50330	
MDAMB361	MDA-MB-361	50331	
MDAMB415	MDA-MB-415	50332	
MDAMB435S	MDA-MB-435S	50030	
MDAMB436	MDA-MB-436	50333	
MDAMB453	MDA-MB-453	50334	
MDAMB468	MDA-MB-468	50335	
MDST8	MDST8	50336	
ME180	ME-180	50337	
MELHO	MEL-HO	50338	
MELJUSO	MEL-JUSO	50339	
MESSA	MES-SA	50340	
MESSADX5	MES-SA/Dx-5	50341	
MEWO	MEWO	50342	
MFE280	MFE-280	50343	
MFE296	MFE-296	50344	
MFE319	MFE-319	50345	
MFM223	MFM-223	50346	
MG63	MG-63	50347	
MHHES1	MHH-ES-1	50348	
MIAPACA2	MIA PaCa-2	50349	
MKN1	MKN1	50350	
MKN28	MKN28	50351	
MKN45	MKN45	50352	
MKN7	MKN7	50353	
MKN74	MKN74	50354	
ML1	ML-1	50355	
MOGGCCM	MOG-G-CCM	50356	
MOGGUVW	MOG-G-UVW	50357	
MS751	MS751	50358	
MSTO211H	MSTO-211H	50359	
MT3	MT-3	50031	
NB69	NB69	50360	
NCCITA3	NCC-IT-A3	50361	
NCIH1048	NCI-H1048	50362	
NCIH1299	NCI-H1299	50363	
NCIH1435	NCI-H1435	50364	
NCIH1437	NCI-H1437	50365	
NCIH1568	NCI-H1568	50366	
NCIH1573	NCI-H1573	50367	
NCIH1581	NCI-H1581	50368	
NCIH1623	NCI-H1623	50369	
NCIH1648	NCI-H1648	50032	H1648
NCIH1650	NCI-H1650	50370	
