	pErk,EGF,1,m	pErk,EGF,100,m	pErk,EPR,1,m	pErk,EPR,100,m	pErk,BTC,1,m	pErk,BTC,100,m	pErk,HRG,1,m	pErk,HRG,100,m	pErk,INS,1,m	pErk,INS,100,m	pErk,IGF-1,1,m	pErk,IGF-1,100,m	pErk,IGF-2,1,m	pErk,IGF-2,100,m	pErk,PDGF-BB,1,m	pErk,PDGF-BB,100,m	pErk,HGF,1,m	pErk,HGF,100,m	pErk,SCF,1,m	pErk,SCF,100,m	pErk,FGF-1,1,m	pErk,FGF-1,100,m	pErk,FGF-2,1,m	pErk,FGF-2,100,m	pErk,NGF-beta,1,m	pErk,NGF-beta,100,m	pErk,EFNA1,1,m	pErk,EFNA1,100,m	pErk,VEGF165,1,m	pErk,VEGF165,100,m	pAkt,EGF,1,m	pAkt,EGF,100,m	pAkt,EPR,1,m	pAkt,EPR,100,m	pAkt,BTC,1,m	pAkt,BTC,100,m	pAkt,HRG,1,m	pAkt,HRG,100,m	pAkt,INS,1,m	pAkt,INS,100,m	pAkt,IGF-1,1,m	pAkt,IGF-1,100,m	pAkt,IGF-2,1,m	pAkt,IGF-2,100,m	pAkt,PDGF-BB,1,m	pAkt,PDGF-BB,100,m	pAkt,HGF,1,m	pAkt,HGF,100,m	pAkt,SCF,1,m	pAkt,SCF,100,m	pAkt,FGF-1,1,m	pAkt,FGF-1,100,m	pAkt,FGF-2,1,m	pAkt,FGF-2,100,m	pAkt,NGF-beta,1,m	pAkt,NGF-beta,100,m	pAkt,EFNA1,1,m	pAkt,EFNA1,100,m	pAkt,VEGF165,1,m	pAkt,VEGF165,100,m
HCC1395	0.683870472371064	0.557608897672694	0	0.781374313481706	0.782268154967946	0.537484261140157	0	0	0	0	0	0	0	0	0	0	0	0.217311880559287	0	0	0.316360625091277	0.181987894453688	0.441166343224083	0.422617849526861	0	0	0	0	0	0	0.269383009713442	0.340005996573187	0.077108772049068	0.305931381453135	0.29361016757989	0.307711237428606	0.043061652627515	0.073999509374307	-0.058986106712997	0.111923541602619	-0.074990847466851	0.296999438712095	-0.050165059580045	0.152128905399104	0.025687440891746	0.033001305362034	0.037438818775947	0.259989258154725	-0.007359749017481	-0.030356252520417	0.110359661644606	0.092534839235816	0.136071888187627	0.155828942129777	-0.035165836844762	-0.006753505778697	0.009109356888159	0.032696771474217	0.00606974301253	-0.005927679023838
HCC1419	-0.034567560128177	0.094157637488246	-0.016564888271397	0.077531835313518	0.08822631116563	0.231189223749747	0.279336492983361	0.389812595827226	-0.014288970995553	0.018953139805152	0.045215010824593	0.032112648231384	0.057158164067042	0.055288125519075	0.000769643261007	0.028065196453025	0.035780382816155	0.073944751647787	0.053244132704135	0.061574072895094	0.04973228748803	-0.015663410116832	0.011563687037262	0.08644511597852	0.00319506095364	0.037143954372168	-0.022324628481881	-0.006709197336618	0.012025051311008	0.044843737710674	0.046186795757997	0.178503320007018	-0.038993338034642	0.058600825550274	0.037660905323363	0.373804571690736	0.29655226444578	0.495017300702036	0.021142399145554	0.046808740064964	-0.114395215001009	-0.087746523023462	-0.176309656894671	-0.114681399115351	-0.126994753904958	-0.017075855371107	-0.118346075402413	-0.076659214273648	-0.119472411362386	-0.118415329208809	0.071170555983294	-0.088890920773687	0.049343069578035	0.021818100535342	0.050964399656586	0.07210647592002	-0.048480886777168	0.00984109211193	0.07475483269423	0.080266235428189
HCC1428	2.06567961888914	2.1120049760768	-0.098486034464046	2.0044517405987	2.21314179914808	2.06714558558526	2.00879483268113	2.44163500587057	-0.098486034464046	0.011403359722175	-0.098486034464046	0.210632223448187	0.020088153346503	0.065843634881781	-0.098486034464046	-0.098486034464046	-0.098486034464046	0.088969658154052	-0.098486034464046	-0.026300191577765	1.90012821359706	1.72729044100729	1.87625924500949	2.09940092209663	0.590597513431638	0.824440175122573	-0.098486034464046	0.230959774400888	0.150877307695264	0.251356612529472	0	0	0	0	0	0	0	1.033767138609	0	0.15548916417971	0	0.118628292394112	0	0.087988025633815	0	0	0.069346400870218	0.071378571969258	0.066530068418748	0.103630719545599	0	0	0	0	0.492991334163888	0.467909169857286	0	0.068853365648457	0.161965679058921	0.191893266084859
HCC1500	0	0	0	0	0	0.127533997385181	0	0.500181873880714	0	0	0	0	0	0	0	0	0	0	0	0	0.288202720317558	0.382146796841644	0.302905545682251	0.634946466738683	0	0	0	0	0	0	-0.093948647979405	-0.033163878107623	-0.137712473643879	-0.124956631623846	-0.059406052202803	-0.140345957732346	-0.01771093709727	0.296980941265919	-0.079149406445336	-0.074128236193133	-0.011383331881515	-0.016556194188856	-0.140079611457068	-0.01915273073242	-0.199694323550399	-0.12909008051624	-0.090879556066571	-0.075820114391892	-0.136717840779422	-0.066317553103827	-0.073579039525264	-0.199694323550399	-0.137810676545445	-0.136134035023175	0.203798527813166	0.194608713384111	-0.078342456144394	-0.059099937078613	0.137052356719388	0.268311110910262
HCC1569	0.745537650421758	0.798362940036762	0.412942800420022	0.79237529395011	0.767795158104704	0.807681170355026	0.753739464993186	0.897962422918639	-0.070239904362068	-0.06766052917156	-0.115578578038844	0.13384963123365	-0.077572302547891	0.100138288397284	-0.107140557749155	-0.03094297170519	0.047143441144466	0.666071680667673	-0.15113958890507	-0.082559117505948	0.447651052923812	0.468080963272459	0.423997437188685	0.561592506690134	-0.044179281954508	0.036863382147866	-0.171207950737918	0.027161953136855	0.029248516384244	0.404593767251932	0.161332055484126	0.397943213548372	0.010069836843536	0.307665738293969	0.148933069668917	0.563507223570956	0.426245638516241	0.601790933196756	0.015948141183303	0.048509107197763	-0.060826592163341	0.266580249703789	-0.211470495268231	0.135953541092293	-0.19083117191828	-0.102597903939646	-0.125539717424459	0.243958775096171	-0.225680387743357	-0.100842052324109	0.046014637784482	0.054431649829665	0.011020723183331	0.076419275395487	-0.058620191616176	0.00161356977931	-0.196554005583	-0.115053718004773	-0.112934340059882	0.013962340726982
HCC1806	0.853350206393354	0.933128708484478	0.759287178811429	0.946045255808193	0.844620301843269	0.847846986227634	0.338880649149173	0.672140670140137	-0.371183765706093	0.239796800287066	-0.297306865141357	0.401884203133945	-0.371183765706093	0.241295659764815	-0.371183765706093	-0.151404383412177	0.030749143740805	0.901996577497378	-0.371183765706093	-0.292548782466865	0.484957280538246	0.686106474353544	0.351909452916683	0.641851295481922	-0.371183765706093	-0.238509741418572	-0.371183765706093	-0.371183765706093	-0.212810957241543	-0.298463458477762	0.376805064168398	0.44675511998336	0.315574874120601	0.497335982572744	0.374881315088939	0.328807310280252	0.348262286511781	0.814365962724694	0.090694216229077	0.632990459897332	0.051182453558208	0.824563880050972	-0.061246280500306	0.735352071247124	-0.129592279633753	-0.114736226853194	-0.042089350189464	0.539257600150076	-0.125722274183655	-0.133490777108545	0.117061484752845	0.187279782606024	0.05987857539721	0.16691065944986	-0.308731336829783	-0.278674528647518	-0.118564702371357	-0.113416947590618	-0.085732159627947	-0.033108425031401
HCC1937	1.76719537222028	1.86872153348448	1.16258013850123	1.81932717381042	1.82343821697163	1.7796889660944	0.849035472700697	1.38650852950803	-0.093341143089518	0.720844842771766	0.000497964621808	0.77860884954734	0.149108554782604	0.588641756552053	-0.013844324130333	0.132074389070182	0.519738974845099	1.83998629154428	-0.093341143089518	-0.001677619296692	1.25659601478617	1.32871704111017	0.500070378626676	1.06306876203982	0.312307567531004	0.340101971222978	-0.033676317797794	0.107402493383032	0.315289782743171	0.243054794135482	0.537758001631917	0.799995327121513	0.213867114635973	0.630675847187118	0.583722453655881	0.698826192532391	0.58016325255261	0.957036474850568	0.158912631689614	0.711672508729137	0.076538712530921	0.690508814626547	-0.106725976969089	0.424405323334616	-0.309704132367422	-0.167232742511283	-0.023171954992392	0.797020062412819	-0.184996931979484	-0.047282646649366	0.156325161552878	0.206249187925106	0.077608190530985	0.130510321318893	0.156900381261708	0.254147366090408	-0.222813072611285	-0.040885962791579	0.117689942295233	0.087230024540777
HCC1954	0.739755257842028	0.762595895119337	0.505419324888868	0.76016549325467	0.72651691983735	0.745273257523031	0.590419186778492	0.713778670729954	-0.025272690415048	-0.021603000257078	-0.101153316059816	-0.043006187271117	-0.051964173262018	-0.053444976415808	0.02317086964942	0.148368655996627	0.231772150990039	0.397381821236532	-0.071156881959212	-0.069578291207138	0.264778040870484	0.144082185800234	0.380981825315909	0.435818656464582	-0.086495153824704	0.021861163515951	0.091676193435375	0.227731301583033	0.028142618107665	0.03656548508862	0.276694186945743	0.470518458277615	0.043707282128859	0.396988000382935	0.319546473016702	0.576957604444514	0.412765680177614	0.684789687596732	-0.008484803114936	0.033983571031786	-0.090494404914423	0.228634951925701	0.029463737862769	0.120481558836142	0.02329339105251	0.130316398785446	0.118807870655754	0.137371877567921	0.032948386671896	0.101430034872349	0.067411335259134	-0.014272358641055	-0.01105016217657	0.129808062425348	0.081751805610555	0.095111558321584	0.132398187860186	0.275029330143819	0.101796145854006	0.224175891707432
HCC202	0.821794581912774	1.01074360144914	0.631263598623787	0.990235879901107	0.881959391823817	0.962372247114941	0.560381654821745	0.657925127673294	-0.027118149803426	0.026375107362499	-0.004656938863657	0.033303243261524	0.077994749804178	0.05412464312916	0.07485806341735	0.116773415000163	0.190988182971247	0.964501035215234	0.015895281148029	0.079433324812128	0.223487169406924	0.141254790547162	0.148320650664182	0.26439590111468	0.116272714601528	0.199896668791827	0.057652714969261	0.070292496699292	0.197312719979627	0.198068059104735	0.030036574915776	0.075220822705404	0.024432882654619	0.075263642274887	0.047430057016645	0.108091131585912	0.131667252077349	0.105783703268301	-0.010345548255774	-0.009834318102024	0.026272068765328	-0.001003341965276	-0.018637388404349	-0.05116925275815	-0.024689637576617	0.016784510176515	-0.051757499395203	0.016556894084179	-0.046695602316526	0.008281937638227	0.095713243696677	0.072553468437273	0.092924793790482	0.090636834825259	0.006614376677223	0.09159342350893	0.037916619915367	0.067681820085617	0.086348836076602	0.029511531543093
HCC38	1.58887273691175	1.66418758044976	0.716397550036297	1.63034742347623	1.62591588253394	1.50364443595859	1.02592532430647	1.44547635587146	-0.26009652675182	-0.092014959565763	-0.674259927952519	0.26199804077009	-0.190892268410501	0.235426879604801	-0.208270818506425	-0.027734461097611	0.413944310142896	1.19237963352759	-0.082575998403042	0.270073376875378	1.4818155139254	1.25865963724312	1.48495846212355	1.52759256208411	-0.190790727484264	-0.377553991313392	-0.287739350743683	0.122650508883276	0.241644936881	0.425397560729159	0.249185223912002	0.472437761180303	0.013148551440429	0.318439487938055	0.376404594708061	0.424711567690092	0.65031923911978	1.08259884585974	-0.076633182395491	0.001795017834405	-0.020986828064732	0.342400474951904	-0.041025024487061	0.246583563081522	-0.0714850926848	-0.057987674530406	0.014980561441383	0.454105789277054	0.004189117339909	0.193533926799474	0.165013203102685	0.13115053235966	0.160554978106346	0.131388774718842	-0.029952666436723	-0.00265255692925	-0.020477372886328	-0.08467519847734	-0.025460265014163	0.024118782733698
