	erk	akt	egfr	erbb2	erbb3	erbb4	perk	perk'	pakt	pegfr	perbb2	perbb3	perbb4
HCC1954	-2.81563473615	-1.5338557639	-1.20679629791	0.307161215095	-1.79060621515	-4.83055302842	-3.67307997688	-3.02250257602	-0.168168511782	-0.572338729716	-0.0684037104431	-1.77874889087	-1.76102371341
HCC202	-2.63959479895	-1.07681776761	-1.17552234242	-0.0291047220276	-1.68202407744	-4.83055302842	-3.02475785413	-2.11527168313	-0.358864029088	-1.41409981699	-0.713729727417	-4.28401036494	-2.00442466212
HCC38	-2.78263361102	-1.51480223844	-1.39786667459	-1.38403297431	-1.61338986428	-4.83055302842	-3.59042456875	-3.06874882428	-1.1127601297	-2.08304756332	-2.07643700724	-4.28401036494	-2.25625401748
HCC70	-2.73030716893	-1.51927373726	-0.728114570294	-1.73301503297	-2.08176139531	-4.83055302842	-3.37438715523	-3.54172846286	-0.541023854747	-1.10987234788	-2.65198715023	-4.28401036494	-2.81077853914
HS578T	-2.97824613119	-1.41275799674	-0.963566219198	-1.93978679343	-4.15766386541	-4.83055302842	-4.57666142903	-3.3810783225	-0.893028703928	-2.12880261	-2.65198715023	-4.28401036494	-4.57666142903
MCF10A	-3.3755336582	-1.59217087856	-0.876480505999	-1.75859887732	-2.88679425978	-4.83055302842	-4.57666142903	-3.1523494536	-1.01618313743	-1.69551369468	-2.09127785911	-4.28401036494	-2.02406539351
MCF10F	-3.36098576256	-1.47268733916	-1.53796769772	-1.50266577947	-2.15928998823	-4.83055302842	-3.90680857652	-3.71149361832	-1.15959452489	-1.85712682707	-2.32995599837	-4.28401036494	-2.41062190065
MCF12A	-3.52188086495	-1.7817563546	-0.722993158059	-2.05407595947	-2.76166227024	-4.83055302842	-4.57666142903	-3.87364768661	-1.76793876959	-0.708413048392	-2.58204450028	-4.28401036494	-3.14021932246
MCF7	-2.80961195858	-0.892996788222	-1.94080969312	-1.63512258917	-1.40136009879	-4.83055302842	-4.57666142903	-3.39091337552	-1.47384584029	-4.84059496671	-2.65198715023	-4.28401036494	-4.57666142903
MDAMB134VI	-2.84571704892	-1.66069403235	-2.96773199404	-1.91988594328	-1.76943931029	-4.83055302842	-4.1427223817	-2.60370381224	-2.78500037731	-4.84059496671	-2.65198715023	-4.28401036494	-4.57666142903
MDAMB157	-2.96196687889	-1.26408366329	-1.45769717205	-2.17555317604	-4.15766386541	-4.83055302842	-4.57666142903	-3.06142252982	-2.04595376205	-2.64410653022	-2.65198715023	-4.28401036494	-2.8518480207
MDAMB175VII	-2.84530386912	-1.32014742396	-2.10496325506	-1.12611959011	-2.03201217697	-4.83055302842	-3.07011565128	-2.07390325863	-0.527931573753	-3.2671680986	-1.79759160867	-2.04067544793	-2.0965010079
MDAMB231	-3.40006687763	-1.44336163137	-1.07730540178	-2.09933245983	-3.22459664529	-4.83055302842	-3.61918459364	-3.14780699457	-2.17540398356	-2.00143875844	-2.45511441777	-4.28401036494	-2.86355309974
MDAMB361	-2.92121366703	-1.17065685235	-2.78239719277	-0.679644684215	-1.84115487511	-4.83055302842	-4.57666142903	-3.12223068156	-1.2467871709	-2.25862759859	-1.11830096771	-4.28401036494	-3.09577402895
MDAMB415	-2.61158678146	-1.47534209315	-4.0735910771	-1.27574012148	-1.50361606748	-4.83055302842	-4.57666142903	-3.06394048953	0.0205614575139	-2.45849455122	-1.98242026352	-4.28401036494	-2.51535507303
MDAMB436	-3.10104298873	-1.82000531859	-1.52777591744	-2.55734779302	-3.12226661389	-4.83055302842	-3.72911908019	-2.86128414124	-0.538136210194	-2.78966830834	-2.65198715023	-4.28401036494	-4.57666142903
MDAMB453	-2.84503014185	-0.9203842805	-2.55175370467	-0.607259866885	-1.54416583313	-4.83055302842	-3.72423690929	-2.68544399085	-0.295539501516	-2.10804246525	-1.01789359655	-2.12045409514	-2.00854028232
MDAMB468	-3.23550606752	-1.73607034307	-0.0472602097616	-4.0735910771	-2.41494712224	-2.67843352067	-4.01552785188	-3.2227175448	-0.568398170503	-0.762633077726	-2.22632771147	-4.28401036494	-2.32821493117
SKBR3	-2.87220309177	-1.45969738738	-1.31001819092	0.156956916956	-1.69194410514	-4.83055302842	-3.71499015551	-2.96874737608	-0.584593060681	-0.432900249088	0.0767661072343	-1.84956723353	-1.29339674054
UACC893	-2.92363963819	-1.14731649941	-1.25832733436	0.536869157269	-1.672266374	-4.83055302842	-2.77236015358	-2.45481992198	0.288619129969	-0.713148921845	0.326958031539	-1.39767770151	-1.38230158179
ZR751	-2.67520134686	-0.9866080358	-2.62910917026	-1.22766710548	-1.57066180626	-4.83055302842	-4.06973598053	-3.53297583136	-1.42108780187	-2.77786729016	-2.24449385051	-4.28401036494	-4.57666142903
ZR7530	-3.01718473816	-1.1004696016	-4.0735910771	0.312682018483	-1.31117409487	-4.83055302842	-2.68793075367	-2.3571020744	-0.457644767137	-2.67392054848	-0.00345715847285	-1.6781153971	-1.96989187158
