cell line	type	target	basal level
HCC202	HER2amp	pInsR	-1.7002
HCC38	TNBC	pInsR	-2.7147
HCC70	TNBC	pInsR	NaN
Hs 578T	TNBC	pInsR	-1.4362
MCF 10A	TNBC	pInsR	-1.4592
MCF 10F	TNBC	pInsR	-1.2851
MCF-12A	TNBC	pInsR	-1.8124
MCF7	HR+	pInsR	-1.3606
MDA-MB-134-VI	HR+	pInsR	NaN
MDA-MB-157	TNBC	pInsR	-2.1614
MDA-MB-175-VII	HR+	pInsR	-2.1655
MDA-MB-231	TNBC	pInsR	-2.3487
MDA-MB-361	HER2amp	pInsR	-1.8537
MDA-MB-415	HR+	pInsR	-1.4131
MDA-MB-436	TNBC	pInsR	NaN
MDA-MB-453	TNBC	pInsR	-1.774
MDA-MB-468	TNBC	pInsR	-1.8738
SK-BR-3	HER2amp	pInsR	-1.5262
T47D	HR+	pInsR	-2.2931
UACC-812	HER2amp	pInsR	NaN
UACC-893	HER2amp	pInsR	-1.309
ZR-75-1	HR+	pInsR	-2.5222
ZR-75-30	HER2amp	pInsR	-1.6421
184B5	TNBC	pIGF1R	-1.7371
AU-565	HER2amp	pIGF1R	-1.9483
BT-20	TNBC	pIGF1R	NaN
BT-474	HER2amp	pIGF1R	-1.8684
BT-483	HR+	pIGF1R	-0.96528
BT-549	TNBC	pIGF1R	-2.2367
CAMA-1	HR+	pIGF1R	NaN
HCC1187	TNBC	pIGF1R	NaN
HCC1395	TNBC	pIGF1R	NaN
HCC1419	HER2amp	pIGF1R	-1.2484
HCC1428	HR+	pIGF1R	NaN
HCC1500	HR+	pIGF1R	-2.6278
HCC1569	HER2amp	pIGF1R	-2.2906
HCC1806	TNBC	pIGF1R	-2.7879
HCC1937	TNBC	pIGF1R	NaN
HCC1954	HER2amp	pIGF1R	-2.3039
HCC202	HER2amp	pIGF1R	NaN
HCC38	TNBC	pIGF1R	-2.2686
HCC70	TNBC	pIGF1R	NaN
Hs 578T	TNBC	pIGF1R	NaN
MCF 10A	TNBC	pIGF1R	-2.1701
MCF 10F	TNBC	pIGF1R	-1.7935
MCF-12A	TNBC	pIGF1R	-1.9631
MCF7	HR+	pIGF1R	NaN
MDA-MB-134-VI	HR+	pIGF1R	NaN
MDA-MB-157	TNBC	pIGF1R	NaN
MDA-MB-175-VII	HR+	pIGF1R	NaN
MDA-MB-231	TNBC	pIGF1R	NaN
MDA-MB-361	HER2amp	pIGF1R	NaN
MDA-MB-415	HR+	pIGF1R	NaN
MDA-MB-436	TNBC	pIGF1R	NaN
MDA-MB-453	TNBC	pIGF1R	NaN
MDA-MB-468	TNBC	pIGF1R	-2.6431
SK-BR-3	HER2amp	pIGF1R	-2.3862
T47D	HR+	pIGF1R	-2.2189
UACC-812	HER2amp	pIGF1R	NaN
UACC-893	HER2amp	pIGF1R	-1.6686
ZR-75-1	HR+	pIGF1R	NaN
ZR-75-30	HER2amp	pIGF1R	-2.1571
184B5	TNBC	pIGF1R (Y1131)	-1.5525
AU-565	HER2amp	pIGF1R (Y1131)	-2.0522
BT-20	TNBC	pIGF1R (Y1131)	-2.0446
BT-474	HER2amp	pIGF1R (Y1131)	NaN
BT-483	HR+	pIGF1R (Y1131)	-1.122
BT-549	TNBC	pIGF1R (Y1131)	NaN
CAMA-1	HR+	pIGF1R (Y1131)	NaN
HCC1187	TNBC	pIGF1R (Y1131)	NaN
HCC1395	TNBC	pIGF1R (Y1131)	NaN
HCC1419	HER2amp	pIGF1R (Y1131)	NaN
HCC1428	HR+	pIGF1R (Y1131)	NaN
HCC1500	HR+	pIGF1R (Y1131)	-1.4154
HCC1569	HER2amp	pIGF1R (Y1131)	NaN
HCC1806	TNBC	pIGF1R (Y1131)	NaN
HCC1937	TNBC	pIGF1R (Y1131)	NaN
HCC1954	HER2amp	pIGF1R (Y1131)	-1.6888
HCC202	HER2amp	pIGF1R (Y1131)	NaN
HCC38	TNBC	pIGF1R (Y1131)	NaN
HCC70	TNBC	pIGF1R (Y1131)	NaN
Hs 578T	TNBC	pIGF1R (Y1131)	-1.9988
MCF 10A	TNBC	pIGF1R (Y1131)	-1.4531
MCF 10F	TNBC	pIGF1R (Y1131)	-1.1106
MCF-12A	TNBC	pIGF1R (Y1131)	-1.2972
MCF7	HR+	pIGF1R (Y1131)	-0.71389
MDA-MB-134-VI	HR+	pIGF1R (Y1131)	NaN
MDA-MB-157	TNBC	pIGF1R (Y1131)	NaN
MDA-MB-175-VII	HR+	pIGF1R (Y1131)	NaN
MDA-MB-231	TNBC	pIGF1R (Y1131)	-1.9403
MDA-MB-361	HER2amp	pIGF1R (Y1131)	NaN
MDA-MB-415	HR+	pIGF1R (Y1131)	NaN
MDA-MB-436	TNBC	pIGF1R (Y1131)	NaN
MDA-MB-453	TNBC	pIGF1R (Y1131)	NaN
MDA-MB-468	TNBC	pIGF1R (Y1131)	NaN
SK-BR-3	HER2amp	pIGF1R (Y1131)	NaN
T47D	HR+	pIGF1R (Y1131)	-1.5729
UACC-812	HER2amp	pIGF1R (Y1131)	-0.959
UACC-893	HER2amp	pIGF1R (Y1131)	NaN
ZR-75-1	HR+	pIGF1R (Y1131)	NaN
ZR-75-30	HER2amp	pIGF1R (Y1131)	NaN
184B5	TNBC	pVEGFR1	NaN
AU-565	HER2amp	pVEGFR1	NaN
BT-20	TNBC	pVEGFR1	NaN
BT-474	HER2amp	pVEGFR1	NaN
BT-483	HR+	pVEGFR1	NaN
BT-549	TNBC	pVEGFR1	NaN
CAMA-1	HR+	pVEGFR1	NaN
HCC1187	TNBC	pVEGFR1	NaN
HCC1395	TNBC	pVEGFR1	NaN
HCC1419	HER2amp	pVEGFR1	NaN
HCC1428	HR+	pVEGFR1	NaN
HCC1500	HR+	pVEGFR1	NaN
HCC1569	HER2amp	pVEGFR1	NaN
HCC1806	TNBC	pVEGFR1	NaN
HCC1937	TNBC	pVEGFR1	NaN
HCC1954	HER2amp	pVEGFR1	NaN
HCC202	HER2amp	pVEGFR1	NaN
HCC38	TNBC	pVEGFR1	NaN
HCC70	TNBC	pVEGFR1	NaN
Hs 578T	TNBC	pVEGFR1	NaN
MCF 10A	TNBC	pVEGFR1	NaN
MCF 10F	TNBC	pVEGFR1	NaN
MCF-12A	TNBC	pVEGFR1	NaN
MCF7	HR+	pVEGFR1	NaN
MDA-MB-134-VI	HR+	pVEGFR1	NaN
MDA-MB-157	TNBC	pVEGFR1	NaN
MDA-MB-175-VII	HR+	pVEGFR1	NaN
MDA-MB-231	TNBC	pVEGFR1	NaN
MDA-MB-361	HER2amp	pVEGFR1	NaN
MDA-MB-415	HR+	pVEGFR1	NaN
MDA-MB-436	TNBC	pVEGFR1	NaN
MDA-MB-453	TNBC	pVEGFR1	NaN
MDA-MB-468	TNBC	pVEGFR1	NaN
SK-BR-3	HER2amp	pVEGFR1	NaN
T47D	HR+	pVEGFR1	NaN
UACC-812	HER2amp	pVEGFR1	NaN
UACC-893	HER2amp	pVEGFR1	NaN
ZR-75-1	HR+	pVEGFR1	NaN
ZR-75-30	HER2amp	pVEGFR1	NaN
184B5	TNBC	pVEGFR2	NaN
AU-565	HER2amp	pVEGFR2	NaN
BT-20	TNBC	pVEGFR2	NaN
BT-474	HER2amp	pVEGFR2	NaN
BT-483	HR+	pVEGFR2	NaN
BT-549	TNBC	pVEGFR2	NaN
CAMA-1	HR+	pVEGFR2	NaN
HCC1187	TNBC	pVEGFR2	-1.9316
HCC1395	TNBC	pVEGFR2	NaN
HCC1419	HER2amp	pVEGFR2	-2.9454
HCC1428	HR+	pVEGFR2	-2.3914
HCC1500	HR+	pVEGFR2	NaN
HCC1569	HER2amp	pVEGFR2	NaN
HCC1806	TNBC	pVEGFR2	NaN
HCC1937	TNBC	pVEGFR2	NaN
HCC1954	HER2amp	pVEGFR2	NaN
HCC202	HER2amp	pVEGFR2	NaN
HCC38	TNBC	pVEGFR2	NaN
HCC70	TNBC	pVEGFR2	NaN
Hs 578T	TNBC	pVEGFR2	NaN
MCF 10A	TNBC	pVEGFR2	NaN
MCF 10F	TNBC	pVEGFR2	NaN
MCF-12A	TNBC	pVEGFR2	NaN
MCF7	HR+	pVEGFR2	NaN
MDA-MB-134-VI	HR+	pVEGFR2	NaN
MDA-MB-157	TNBC	pVEGFR2	NaN
MDA-MB-175-VII	HR+	pVEGFR2	NaN
MDA-MB-231	TNBC	pVEGFR2	NaN
MDA-MB-361	HER2amp	pVEGFR2	NaN
MDA-MB-415	HR+	pVEGFR2	NaN
MDA-MB-436	TNBC	pVEGFR2	NaN
MDA-MB-453	TNBC	pVEGFR2	NaN
MDA-MB-468	TNBC	pVEGFR2	NaN
SK-BR-3	HER2amp	pVEGFR2	NaN
T47D	HR+	pVEGFR2	NaN
UACC-812	HER2amp	pVEGFR2	NaN
UACC-893	HER2amp	pVEGFR2	NaN
ZR-75-1	HR+	pVEGFR2	NaN
ZR-75-30	HER2amp	pVEGFR2	NaN
184B5	TNBC	pVEGFR3	NaN
AU-565	HER2amp	pVEGFR3	-2.7306
BT-20	TNBC	pVEGFR3	NaN
BT-474	HER2amp	pVEGFR3	-2.4718
BT-483	HR+	pVEGFR3	NaN
BT-549	TNBC	pVEGFR3	NaN
CAMA-1	HR+	pVEGFR3	NaN
HCC1187	TNBC	pVEGFR3	NaN
HCC1395	TNBC	pVEGFR3	NaN
HCC1419	HER2amp	pVEGFR3	-2.2309
HCC1428	HR+	pVEGFR3	NaN
HCC1500	HR+	pVEGFR3	NaN
HCC1569	HER2amp	pVEGFR3	-3.3986
HCC1806	TNBC	pVEGFR3	NaN
HCC1937	TNBC	pVEGFR3	NaN
HCC1954	HER2amp	pVEGFR3	NaN
HCC202	HER2amp	pVEGFR3	NaN
HCC38	TNBC	pVEGFR3	NaN
HCC70	TNBC	pVEGFR3	NaN
Hs 578T	TNBC	pVEGFR3	NaN
MCF 10A	TNBC	pVEGFR3	NaN
MCF 10F	TNBC	pVEGFR3	NaN
MCF-12A	TNBC	pVEGFR3	NaN
MCF7	HR+	pVEGFR3	NaN
MDA-MB-134-VI	HR+	pVEGFR3	NaN
MDA-MB-157	TNBC	pVEGFR3	NaN
MDA-MB-175-VII	HR+	pVEGFR3	NaN
MDA-MB-231	TNBC	pVEGFR3	NaN
MDA-MB-361	HER2amp	pVEGFR3	NaN
MDA-MB-415	HR+	pVEGFR3	NaN
MDA-MB-436	TNBC	pVEGFR3	NaN
MDA-MB-453	TNBC	pVEGFR3	NaN
MDA-MB-468	TNBC	pVEGFR3	NaN
SK-BR-3	HER2amp	pVEGFR3	NaN
T47D	HR+	pVEGFR3	NaN
UACC-812	HER2amp	pVEGFR3	-2.6821
UACC-893	HER2amp	pVEGFR3	-2.7509
ZR-75-1	HR+	pVEGFR3	NaN
ZR-75-30	HER2amp	pVEGFR3	-2.6699
184B5	TNBC	pPDGFRa	-2.9004
AU-565	HER2amp	pPDGFRa	-2.7581
BT-20	TNBC	pPDGFRa	NaN
BT-474	HER2amp	pPDGFRa	-2.2611
BT-483	HR+	pPDGFRa	-2.5419
BT-549	TNBC	pPDGFRa	-2.3426
CAMA-1	HR+	pPDGFRa	NaN
HCC1187	TNBC	pPDGFRa	-2.9302
HCC1395	TNBC	pPDGFRa	NaN
HCC1419	HER2amp	pPDGFRa	-1.8717
HCC1428	HR+	pPDGFRa	NaN
HCC1500	HR+	pPDGFRa	-2.8381
HCC1569	HER2amp	pPDGFRa	NaN
HCC1806	TNBC	pPDGFRa	-3.2851
HCC1937	TNBC	pPDGFRa	NaN
HCC1954	HER2amp	pPDGFRa	NaN
HCC202	HER2amp	pPDGFRa	-3.7264
HCC38	TNBC	pPDGFRa	NaN
HCC70	TNBC	pPDGFRa	-4.0551
Hs 578T	TNBC	pPDGFRa	-2.3768
MCF 10A	TNBC	pPDGFRa	NaN
MCF 10F	TNBC	pPDGFRa	NaN
MCF-12A	TNBC	pPDGFRa	NaN
MCF7	HR+	pPDGFRa	NaN
MDA-MB-134-VI	HR+	pPDGFRa	-2.8589
MDA-MB-157	TNBC	pPDGFRa	NaN
MDA-MB-175-VII	HR+	pPDGFRa	NaN
MDA-MB-231	TNBC	pPDGFRa	-3.2379
MDA-MB-361	HER2amp	pPDGFRa	-3.1516
MDA-MB-415	HR+	pPDGFRa	-2.6138
MDA-MB-436	TNBC	pPDGFRa	NaN
MDA-MB-453	TNBC	pPDGFRa	-2.5885
MDA-MB-468	TNBC	pPDGFRa	-2.8132
SK-BR-3	HER2amp	pPDGFRa	-2.787
T47D	HR+	pPDGFRa	-2.929
UACC-812	HER2amp	pPDGFRa	NaN
UACC-893	HER2amp	pPDGFRa	-2.1509
ZR-75-1	HR+	pPDGFRa	-2.6237
ZR-75-30	HER2amp	pPDGFRa	-2.9791
184B5	TNBC	pPDGFRb	NaN
AU-565	HER2amp	pPDGFRb	NaN
BT-20	TNBC	pPDGFRb	NaN
BT-474	HER2amp	pPDGFRb	NaN
BT-483	HR+	pPDGFRb	NaN
BT-549	TNBC	pPDGFRb	NaN
CAMA-1	HR+	pPDGFRb	NaN
HCC1187	TNBC	pPDGFRb	NaN
HCC1395	TNBC	pPDGFRb	NaN
HCC1419	HER2amp	pPDGFRb	NaN
HCC1428	HR+	pPDGFRb	NaN
HCC1500	HR+	pPDGFRb	NaN
HCC1569	HER2amp	pPDGFRb	NaN
HCC1806	TNBC	pPDGFRb	NaN
HCC1937	TNBC	pPDGFRb	NaN
HCC1954	HER2amp	pPDGFRb	NaN
HCC202	HER2amp	pPDGFRb	NaN
HCC38	TNBC	pPDGFRb	NaN
HCC70	TNBC	pPDGFRb	NaN
Hs 578T	TNBC	pPDGFRb	-2.8055
MCF 10A	TNBC	pPDGFRb	NaN
MCF 10F	TNBC	pPDGFRb	NaN
MCF-12A	TNBC	pPDGFRb	NaN
MCF7	HR+	pPDGFRb	NaN
MDA-MB-134-VI	HR+	pPDGFRb	NaN
MDA-MB-157	TNBC	pPDGFRb	NaN
MDA-MB-175-VII	HR+	pPDGFRb	NaN
MDA-MB-231	TNBC	pPDGFRb	NaN
MDA-MB-361	HER2amp	pPDGFRb	NaN
MDA-MB-415	HR+	pPDGFRb	NaN
MDA-MB-436	TNBC	pPDGFRb	NaN
MDA-MB-453	TNBC	pPDGFRb	NaN
MDA-MB-468	TNBC	pPDGFRb	NaN
SK-BR-3	HER2amp	pPDGFRb	NaN
T47D	HR+	pPDGFRb	NaN
UACC-812	HER2amp	pPDGFRb	NaN
UACC-893	HER2amp	pPDGFRb	NaN
ZR-75-1	HR+	pPDGFRb	NaN
ZR-75-30	HER2amp	pPDGFRb	NaN
184B5	TNBC	pMet	-3.0559
AU-565	HER2amp	pMet	-2.5099
BT-20	TNBC	pMet	-2.1871
BT-474	HER2amp	pMet	-3.085
BT-483	HR+	pMet	NaN
BT-549	TNBC	pMet	NaN
CAMA-1	HR+	pMet	NaN
HCC1187	TNBC	pMet	NaN
HCC1395	TNBC	pMet	NaN
HCC1419	HER2amp	pMet	-2.2796
HCC1428	HR+	pMet	-2.4774
HCC1500	HR+	pMet	-2.0099
HCC1569	HER2amp	pMet	-2.5937
HCC1806	TNBC	pMet	-2.6789
HCC1937	TNBC	pMet	NaN
HCC1954	HER2amp	pMet	-2.1426
HCC202	HER2amp	pMet	NaN
HCC38	TNBC	pMet	NaN
HCC70	TNBC	pMet	NaN
Hs 578T	TNBC	pMet	NaN
MCF 10A	TNBC	pMet	NaN
MCF 10F	TNBC	pMet	-3.9364
MCF-12A	TNBC	pMet	-2.0341
MCF7	HR+	pMet	NaN
MDA-MB-134-VI	HR+	pMet	NaN
MDA-MB-157	TNBC	pMet	NaN
MDA-MB-175-VII	HR+	pMet	NaN
MDA-MB-231	TNBC	pMet	NaN
MDA-MB-361	HER2amp	pMet	NaN
MDA-MB-415	HR+	pMet	NaN
MDA-MB-436	TNBC	pMet	NaN
MDA-MB-453	TNBC	pMet	NaN
MDA-MB-468	TNBC	pMet	-3.5002
SK-BR-3	HER2amp	pMet	-2.3981
T47D	HR+	pMet	NaN
UACC-812	HER2amp	pMet	NaN
UACC-893	HER2amp	pMet	-2.2454
ZR-75-1	HR+	pMet	NaN
ZR-75-30	HER2amp	pMet	NaN
184B5	TNBC	pcKit	NaN
AU-565	HER2amp	pcKit	NaN
BT-20	TNBC	pcKit	NaN
BT-474	HER2amp	pcKit	NaN
BT-483	HR+	pcKit	NaN
BT-549	TNBC	pcKit	NaN
CAMA-1	HR+	pcKit	NaN
HCC1187	TNBC	pcKit	NaN
HCC1395	TNBC	pcKit	NaN
HCC1419	HER2amp	pcKit	NaN
HCC1428	HR+	pcKit	NaN
HCC1500	HR+	pcKit	NaN
HCC1569	HER2amp	pcKit	NaN
HCC1806	TNBC	pcKit	NaN
HCC1937	TNBC	pcKit	NaN
HCC1954	HER2amp	pcKit	NaN
HCC202	HER2amp	pcKit	NaN
HCC38	TNBC	pcKit	NaN
HCC70	TNBC	pcKit	NaN
Hs 578T	TNBC	pcKit	NaN
MCF 10A	TNBC	pcKit	NaN
MCF 10F	TNBC	pcKit	NaN
MCF-12A	TNBC	pcKit	NaN
MCF7	HR+	pcKit	NaN
MDA-MB-134-VI	HR+	pcKit	NaN
MDA-MB-157	TNBC	pcKit	NaN
MDA-MB-175-VII	HR+	pcKit	NaN
MDA-MB-231	TNBC	pcKit	NaN
MDA-MB-361	HER2amp	pcKit	NaN
MDA-MB-415	HR+	pcKit	NaN
MDA-MB-436	TNBC	pcKit	NaN
MDA-MB-453	TNBC	pcKit	NaN
MDA-MB-468	TNBC	pcKit	NaN
SK-BR-3	HER2amp	pcKit	NaN
T47D	HR+	pcKit	NaN
UACC-812	HER2amp	pcKit	NaN
UACC-893	HER2amp	pcKit	NaN
ZR-75-1	HR+	pcKit	NaN
ZR-75-30	HER2amp	pcKit	NaN
184B5	TNBC	pEphA2	NaN
AU-565	HER2amp	pEphA2	-3.8176
BT-20	TNBC	pEphA2	NaN
BT-474	HER2amp	pEphA2	NaN
BT-483	HR+	pEphA2	NaN
BT-549	TNBC	pEphA2	NaN
CAMA-1	HR+	pEphA2	NaN
HCC1187	TNBC	pEphA2	NaN
HCC1395	TNBC	pEphA2	NaN
HCC1419	HER2amp	pEphA2	-2.9827
HCC1428	HR+	pEphA2	NaN
HCC1500	HR+	pEphA2	NaN
HCC1569	HER2amp	pEphA2	NaN
HCC1806	TNBC	pEphA2	NaN
HCC1937	TNBC	pEphA2	NaN
HCC1954	HER2amp	pEphA2	-3.6777
HCC202	HER2amp	pEphA2	NaN
HCC38	TNBC	pEphA2	NaN
HCC70	TNBC	pEphA2	NaN
Hs 578T	TNBC	pEphA2	NaN
MCF 10A	TNBC	pEphA2	NaN
MCF 10F	TNBC	pEphA2	NaN
MCF-12A	TNBC	pEphA2	-3.9584
MCF7	HR+	pEphA2	NaN
MDA-MB-134-VI	HR+	pEphA2	NaN
MDA-MB-157	TNBC	pEphA2	NaN
MDA-MB-175-VII	HR+	pEphA2	NaN
MDA-MB-231	TNBC	pEphA2	NaN
MDA-MB-361	HER2amp	pEphA2	NaN
MDA-MB-415	HR+	pEphA2	NaN
MDA-MB-436	TNBC	pEphA2	NaN
MDA-MB-453	TNBC	pEphA2	NaN
MDA-MB-468	TNBC	pEphA2	NaN
SK-BR-3	HER2amp	pEphA2	NaN
T47D	HR+	pEphA2	NaN
UACC-812	HER2amp	pEphA2	NaN
UACC-893	HER2amp	pEphA2	NaN
ZR-75-1	HR+	pEphA2	-3.7392
ZR-75-30	HER2amp	pEphA2	NaN
184B5	TNBC	pSrc	-3.3274
AU-565	HER2amp	pSrc	-4.6174
BT-20	TNBC	pSrc	-3.5639
BT-474	HER2amp	pSrc	-4.6432
BT-483	HR+	pSrc	-2.6339
BT-549	TNBC	pSrc	-3.6921
CAMA-1	HR+	pSrc	-4.5941
HCC1187	TNBC	pSrc	-4.1894
HCC1395	TNBC	pSrc	-3.8015
HCC1419	HER2amp	pSrc	-4.9085
HCC1428	HR+	pSrc	-2.6982
HCC1500	HR+	pSrc	-3.8259
HCC1569	HER2amp	pSrc	-3.4719
HCC1806	TNBC	pSrc	-4.1121
HCC1937	TNBC	pSrc	-3.9215
HCC1954	HER2amp	pSrc	-3.6479
HCC202	HER2amp	pSrc	-3.8731
HCC38	TNBC	pSrc	-3.8648
HCC70	TNBC	pSrc	-4.3908
Hs 578T	TNBC	pSrc	-4.1203
MCF 10A	TNBC	pSrc	-3.8238
MCF 10F	TNBC	pSrc	-4.0355
MCF-12A	TNBC	pSrc	-3.5916
MCF7	HR+	pSrc	-4.6473
MDA-MB-134-VI	HR+	pSrc	-4.1128
MDA-MB-157	TNBC	pSrc	-4.2335
MDA-MB-175-VII	HR+	pSrc	-3.4263
MDA-MB-231	TNBC	pSrc	-3.9353
MDA-MB-361	HER2amp	pSrc	-3.9767
MDA-MB-415	HR+	pSrc	-3.4435
MDA-MB-436	TNBC	pSrc	-4.3841
MDA-MB-453	TNBC	pSrc	-4.6388
MDA-MB-468	TNBC	pSrc	-4.1124
SK-BR-3	HER2amp	pSrc	-4.3187
T47D	HR+	pSrc	-3.8963
UACC-812	HER2amp	pSrc	-3.2022
UACC-893	HER2amp	pSrc	-4.1012
ZR-75-1	HR+	pSrc	-3.8098
ZR-75-30	HER2amp	pSrc	-4.144
184B5	TNBC	pTrkA	-3.3669
AU-565	HER2amp	pTrkA	NaN
BT-20	TNBC	pTrkA	NaN
BT-474	HER2amp	pTrkA	-3.1861
BT-483	HR+	pTrkA	NaN
BT-549	TNBC	pTrkA	NaN
CAMA-1	HR+	pTrkA	NaN
HCC1187	TNBC	pTrkA	NaN
HCC1395	TNBC	pTrkA	NaN
HCC1419	HER2amp	pTrkA	-2.7263
HCC1428	HR+	pTrkA	NaN
HCC1500	HR+	pTrkA	-3.0484
HCC1569	HER2amp	pTrkA	NaN
HCC1806	TNBC	pTrkA	NaN
HCC1937	TNBC	pTrkA	NaN
HCC1954	HER2amp	pTrkA	NaN
HCC202	HER2amp	pTrkA	NaN
HCC38	TNBC	pTrkA	NaN
HCC70	TNBC	pTrkA	NaN
Hs 578T	TNBC	pTrkA	NaN
MCF 10A	TNBC	pTrkA	NaN
MCF 10F	TNBC	pTrkA	NaN
MCF-12A	TNBC	pTrkA	NaN
MCF7	HR+	pTrkA	NaN
MDA-MB-134-VI	HR+	pTrkA	NaN
MDA-MB-157	TNBC	pTrkA	NaN
MDA-MB-175-VII	HR+	pTrkA	NaN
MDA-MB-231	TNBC	pTrkA	NaN
MDA-MB-361	HER2amp	pTrkA	NaN
MDA-MB-415	HR+	pTrkA	NaN
MDA-MB-436	TNBC	pTrkA	NaN
MDA-MB-453	TNBC	pTrkA	NaN
MDA-MB-468	TNBC	pTrkA	-2.2371
SK-BR-3	HER2amp	pTrkA	NaN
T47D	HR+	pTrkA	NaN
UACC-812	HER2amp	pTrkA	NaN
UACC-893	HER2amp	pTrkA	-2.5842
ZR-75-1	HR+	pTrkA	NaN
ZR-75-30	HER2amp	pTrkA	NaN
