cell line	type	target	basal level
HCC1187	TNBC	ErbB4	NaN
HCC1395	TNBC	ErbB4	NaN
HCC1419	HER2amp	ErbB4	NaN
HCC1428	HR+	ErbB4	-2.9197
HCC1500	HR+	ErbB4	-3.2729
HCC1569	HER2amp	ErbB4	NaN
HCC1806	TNBC	ErbB4	NaN
HCC1937	TNBC	ErbB4	NaN
HCC1954	HER2amp	ErbB4	NaN
HCC202	HER2amp	ErbB4	NaN
HCC38	TNBC	ErbB4	NaN
HCC70	TNBC	ErbB4	NaN
Hs 578T	TNBC	ErbB4	NaN
MCF 10A	TNBC	ErbB4	NaN
MCF 10F	TNBC	ErbB4	NaN
MCF-12A	TNBC	ErbB4	NaN
MCF7	HR+	ErbB4	NaN
MDA-MB-134-VI	HR+	ErbB4	NaN
MDA-MB-157	TNBC	ErbB4	NaN
MDA-MB-175-VII	HR+	ErbB4	NaN
MDA-MB-231	TNBC	ErbB4	NaN
MDA-MB-361	HER2amp	ErbB4	NaN
MDA-MB-415	HR+	ErbB4	NaN
MDA-MB-436	TNBC	ErbB4	NaN
MDA-MB-453	TNBC	ErbB4	NaN
MDA-MB-468	TNBC	ErbB4	-2.6784
SK-BR-3	HER2amp	ErbB4	NaN
T47D	HR+	ErbB4	-3.3539
UACC-812	HER2amp	ErbB4	NaN
UACC-893	HER2amp	ErbB4	NaN
ZR-75-1	HR+	ErbB4	NaN
ZR-75-30	HER2amp	ErbB4	NaN
184B5	TNBC	InsR	-2.8293
AU-565	HER2amp	InsR	-2.2343
BT-20	TNBC	InsR	-3.0843
BT-474	HER2amp	InsR	-2.5978
BT-483	HR+	InsR	-2.1287
BT-549	TNBC	InsR	NaN
CAMA-1	HR+	InsR	-2.7509
HCC1187	TNBC	InsR	-1.955
HCC1395	TNBC	InsR	NaN
HCC1419	HER2amp	InsR	NaN
HCC1428	HR+	InsR	NaN
HCC1500	HR+	InsR	-1.8564
HCC1569	HER2amp	InsR	NaN
HCC1806	TNBC	InsR	-2.8051
HCC1937	TNBC	InsR	-2.5694
HCC1954	HER2amp	InsR	NaN
HCC202	HER2amp	InsR	-2.1296
HCC38	TNBC	InsR	-2.77
HCC70	TNBC	InsR	NaN
Hs 578T	TNBC	InsR	NaN
MCF 10A	TNBC	InsR	NaN
MCF 10F	TNBC	InsR	-2.8658
MCF-12A	TNBC	InsR	NaN
MCF7	HR+	InsR	-2.1857
MDA-MB-134-VI	HR+	InsR	NaN
MDA-MB-157	TNBC	InsR	-2.5674
MDA-MB-175-VII	HR+	InsR	NaN
MDA-MB-231	TNBC	InsR	NaN
MDA-MB-361	HER2amp	InsR	-2.4508
MDA-MB-415	HR+	InsR	-2.5832
MDA-MB-436	TNBC	InsR	NaN
MDA-MB-453	TNBC	InsR	-2.2413
MDA-MB-468	TNBC	InsR	-2.197
SK-BR-3	HER2amp	InsR	-2.1615
T47D	HR+	InsR	-2.5795
UACC-812	HER2amp	InsR	NaN
UACC-893	HER2amp	InsR	-2.3449
ZR-75-1	HR+	InsR	NaN
ZR-75-30	HER2amp	InsR	NaN
184B5	TNBC	IGF1R	-1.6122
AU-565	HER2amp	IGF1R	-2.5562
BT-20	TNBC	IGF1R	-1.5302
BT-474	HER2amp	IGF1R	-1.8067
BT-483	HR+	IGF1R	-1.0217
