.	PP Erk	PP Akt	PP EGFR	PP ErbB2	PP ErbB3	PP ErbB4	PP InsR	PP IGF1R	PP IGF2	PP VEGFR1	PP VEGFR2	PP VEGFR3	PP PDGFRa	PP PDGFRaRnD	PP PDGFRb	PP Met	PP ckit	PP EphA2	PP Src	PP TrkA	PP FGFR1	PP FGFR2	PP FGFR3	PP FGFR4	PP EpCA	PP pErk(RnD)	PP pErk(CST)	PP pAkt	PP pEGFR	PP pErbB2	PP pErbB3	PP pErbB4	PP pInsR	PP pIGF1R	PP pIGF1R- b	PP pIGF1RY1131	PP pVEGFR1	PP pVEGFR2	PP pVEGFR3	PP pPDGFRa	PP pPDGFRb	PP pMet	PP pckit	PP pEphA2	PP pSrc	PP pTrkA	
MCF-12A	-3.522	-1.782	-0.723	-2.054	-2.762	-4.831	-4.212	-1.870	-2.035	-5.125	-6.160	-3.714	-3.749	-4.710	-5.201	-0.292	-6.762	-1.763	-1.035	-5.795	-0.996	-5.683	-4.739	-6.249	-1.230	-4.577	-3.874	-1.768	-0.708	-2.582	-4.284	-3.140	-1.812	-1.963	-1.866	-1.297	-4.433	-4.883	-4.100	-5.024	-3.872	-2.034	-2.903	-3.958	-3.592	-3.934
MCF7__b	-2.810	-0.893	-1.941	-1.635	-1.401	-4.831	-2.186	-1.130	-1.662	-5.125	-6.160	-3.714	-3.749	-4.710	-5.201	-4.074	-3.801	-1.857	-0.909	-5.795	-0.582	-5.683	-4.739	-6.249	-0.150	-4.577	-3.391	-1.474	-4.841	-2.652	-4.284	-4.577	-1.361	-4.432	-2.248	-0.714	-4.433	-4.883	-4.100	-5.024	-3.872	-4.786	-2.903	-4.647	-4.647	-3.934
MDA-MB-134-VI	-2.846	-1.661	-2.968	-1.920	-1.769	-4.831	-4.212	-1.654	-1.749	-5.125	-6.160	-3.714	-3.749	-4.710	-3.442	-4.074	-6.762	-3.080	-0.886	-5.795	-0.738	-5.683	-4.739	-6.249	-0.975	-4.143	-2.604	-2.785	-4.841	-2.652	-4.284	-4.577	-4.790	-4.432	-2.238	-2.737	-4.433	-4.883	-4.100	-2.859	-3.872	-4.786	-2.903	-4.647	-4.113	-3.934
MDA-MB-157	-2.962	-1.264	-1.458	-2.176	-4.158	-4.831	-2.567	-2.795	-1.784	-3.079	-6.160	-3.714	-3.495	-4.710	-0.959	-4.074	-2.062	-1.130	-1.053	-5.795	-0.801	-5.683	-4.739	-6.249	-4.074	-4.577	-3.061	-2.046	-2.644	-2.652	-4.284	-2.852	-2.161	-4.432	-3.309	-2.737	-4.433	-4.883	-4.100	-5.024	-3.872	-4.786	-2.903	-4.647	-4.233	-3.934
MDA-MB-175-VII	-2.845	-1.320	-2.105	-1.126	-2.032	-4.831	-4.212	-2.134	-1.898	-5.125	-6.160	-3.714	-3.749	-4.710	-5.201	-4.074	-6.762	-1.843	-0.468	-5.795	-0.614	-5.683	-4.739	-6.249	-1.352	-3.070	-2.074	-0.528	-3.267	-1.798	-2.041	-2.097	-2.166	-4.432	-1.507	-2.737	-4.433	-4.883	-4.100	-5.024	-3.872	-4.786	-2.903	-4.647	-3.426	-3.934
MDA-MB-231__a	-3.400	-1.443	-1.077	-2.099	-3.225	-4.831	-4.212	-2.324	-1.507	-5.125	-6.160	-3.714	-3.749	-4.710	-2.217	-1.096	-6.762	-0.930	-0.647	-5.795	-0.838	-5.683	-4.739	-6.249	-1.954	-3.619	-3.148	-2.175	-2.001	-2.455	-4.284	-2.864	-2.349	-4.432	-2.496	-1.940	-4.433	-4.883	-4.100	-3.238	-3.872	-4.786	-2.903	-4.647	-3.935	-3.934
MDA-MB-361	-2.921	-1.171	-2.782	-0.680	-1.841	-4.831	-2.451	-1.803	-1.788	-5.125	-6.160	-3.714	-3.749	-4.710	-5.201	-4.074	-6.762	-2.987	-0.996	-5.795	-0.898	-2.961	-4.739	-6.249	-0.547	-4.577	-3.122	-1.247	-2.259	-1.118	-4.284	-3.096	-1.854	-4.432	-2.438	-2.737	-4.433	-4.883	-4.100	-3.152	-3.872	-4.786	-2.903	-4.647	-3.977	-3.934
MDA-MB-415	-2.612	-1.475	-4.074	-1.276	-1.504	-4.831	-2.583	-2.302	-1.796	-3.189	-6.160	-3.714	-3.749	-4.710	-3.479	-2.051	-2.390	-2.073	0.556	-5.795	-0.636	-2.737	-3.471	-2.447	-0.282	-4.577	-3.064	0.021	-2.458	-1.982	-4.284	-2.515	-1.413	-4.432	-1.609	-2.737	-4.433	-4.883	-4.100	-2.614	-3.872	-4.786	-2.903	-4.647	-3.444	-3.934
MDA-MB-436	-3.101	-1.820	-1.528	-2.557	-3.122	-4.831	-4.212	-2.005	-1.362	-3.362	-6.160	-3.714	-3.749	-4.710	-5.201	-0.582	-6.762	-1.128	-1.417	-5.795	-0.792	-5.683	-4.739	-6.249	-2.344	-3.729	-2.861	-0.538	-2.790	-2.652	-4.284	-4.577	-4.790	-4.432	-2.169	-2.737	-4.433	-4.883	-4.100	-5.024	-3.872	-4.786	-2.903	-4.647	-4.384	-3.934
MDA-MB-453	-2.845	-0.920	-2.552	-0.607	-1.544	-4.831	-2.241	-2.654	-1.922	-3.319	-6.160	-3.714	-3.749	-3.286	-3.885	-4.074	-4.554	-2.796	-4.002	-5.795	-0.579	-2.826	-4.739	-1.183	-0.417	-3.724	-2.685	-0.296	-2.108	-1.018	-2.120	-2.009	-1.774	-4.432	-1.944	-2.737	-4.433	-4.883	-4.100	-2.589	-3.872	-4.786	-2.903	-4.647	-4.639	-3.934
MDA-MB-468	-3.236	-1.736	-0.047	-4.074	-2.415	-2.678	-2.197	-2.409	-2.211	-3.590	-3.388	-3.714	-3.749	-4.710	-3.610	-0.755	-3.853	-2.083	-1.048	-5.795	-0.800	-3.805	-4.739	-6.249	-0.244	-4.016	-3.223	-0.568	-0.763	-2.226	-4.284	-2.328	-1.874	-2.643	-2.239	-2.737	-4.433	-4.883	-4.100	-2.813	-3.872	-3.500	-2.903	-4.647	-4.112	-2.237
SK-BR-3__a	-2.872	-1.460	-1.310	0.157	-1.692	-4.831	-2.162	-2.733	-1.647	-3.405	-6.160	-3.714	-3.749	-4.710	-3.829	-1.904	-6.762	-2.104	-0.754	-5.795	-0.640	-2.842	-4.739	-6.249	-0.494	-3.715	-2.969	-0.585	-0.433	0.077	-1.850	-1.293	-1.526	-2.386	-1.935	-2.737	-4.433	-4.883	-4.100	-2.787	-3.872	-2.398	-2.903	-4.647	-4.319	-3.934
T47D	-3.270	-1.496	-2.006	-1.447	-1.559	-3.354	-2.579	-1.632	-1.746	-3.657	-6.160	-3.714	-3.749	-3.342	-3.574	-4.074	-6.762	-2.736	-0.547	-5.795	-0.707	-2.932	-4.739	-6.249	-0.779	-3.648	-3.152	-0.734	-2.434	-1.953	-4.284	-2.353	-2.293	-2.219	-1.458	-1.573	-4.433	-4.883	-4.100	-2.929	-3.872	-4.786	-2.903	-4.647	-3.896	-3.934
UACC-812	-2.635	-1.203	-2.450	0.033	-1.934	-4.831	-4.212	-1.678	-1.521	-5.125	-6.160	-3.714	-3.749	-4.710	-5.201	-0.667	-6.762	-1.765	0.145	-5.795	-0.533	-3.879	-4.739	-6.249	-0.570	-2.895	-2.209	-0.685	-1.782	-0.225	-4.284	-1.796	-4.790	-4.432	-2.167	-0.959	-4.433	-4.883	-2.682	-5.024	-3.872	-4.786	-2.903	-4.647	-3.202	-3.934
UACC-893	-2.924	-1.147	-1.258	0.537	-1.672	-4.831	-2.345	-3.687	-1.207	-2.682	-6.160	-3.714	-3.749	-4.710	-5.201	-1.637	-6.762	-1.965	-1.156	-3.366	-1.081	-2.359	-2.085	-2.689	-0.023	-2.772	-2.455	0.289	-0.713	0.327	-1.398	-1.382	-1.309	-1.669	-1.342	-2.737	-4.433	-4.883	-2.751	-2.151	-3.872	-2.245	-2.903	-4.647	-4.101	-2.584
ZR-75-1	-2.675	-0.987	-2.629	-1.228	-1.571	-4.831	-4.212	-1.908	-2.032	-5.125	-6.160	-3.714	-3.749	-4.710	-5.201	-4.074	-6.762	-2.420	-0.396	-5.795	-0.773	-3.500	-3.693	-3.315	-0.584	-4.070	-3.533	-1.421	-2.778	-2.244	-4.284	-4.577	-2.522	-4.432	-2.100	-2.737	-4.433	-4.883	-4.100	-2.624	-3.872	-4.786	-2.903	-3.739	-3.810	-3.934
ZR-75-30	-3.017	-1.100	-4.074	0.313	-1.311	-4.831	-4.212	-2.130	-1.752	-5.125	-6.160	-3.714	-3.219	-4.710	-5.201	-4.074	-6.762	-2.500	-0.656	-5.795	-0.712	-5.683	-2.716	-3.838	-1.237	-2.688	-2.357	-0.458	-2.674	-0.003	-1.678	-1.970	-1.642	-2.157	-1.901	-2.737	-4.433	-4.883	-2.670	-2.979	-3.872	-4.786	-2.903	-4.647	-4.144	-3.934
